,keyword,occurence
0,ability,842
1,access,92
2,activities,12
3,asset,144
4,assets,144
5,attributes,0
6,automated,0
7,bank,1803
8,banks,12
9,based,648
10,benefits,388
11,business,4287
12,capital,8018
13,card,891
14,competition,0
15,contract,4
16,cost,0
17,costs,0
18,credit,1339
19,crowdfunding,0
20,customer,2448
21,customers,1372
22,data,18327
23,digital,186
24,ecosystem,4
25,entities,168
26,equity,0
27,externalisation,0
28,financial,516
29,fintechs,0
30,firms,0
31,focus,292
32,funding,8
33,future,252
34,global,0
35,high,228
36,http,3824
37,https,3032
38,identity,434
39,impact,296
40,incumbents,0
41,individual,12
42,industry,148
43,infrastructure,71
44,institutions,0
45,insurance,0
46,insurers,0
47,intermediaries,0
48,investment,40
49,investors,0
50,key,3440
51,large,188
52,loan,8
53,management,1064
54,managers,48
55,market,1372
56,markets,0
57,models,188
58,number,36
59,offer,172
60,online,0
61,payment,16
62,payments,16
63,platform,111
64,platforms,12
65,potential,48
66,process,368
67,processes,20
68,product,2511
69,products,919
70,provide,912
71,providers,4
72,proxy,0
73,real,346
74,regulators,0
75,regulatory,80
76,risk,912
77,robo,0
78,scale,124
79,scenario,4
80,service,1147
81,services,626
82,shift,132
83,smart,4
84,solutions,212
85,state,4210
86,strategies,580
87,system,20
88,systems,16
89,technology,1043
90,time,732
91,trade,228
92,trading,0
93,traditional,12
94,transaction,4
95,transactions,4
96,transfer,0
97,user,104
98,users,16
99,wealth,0
