,keyword,occurence
0,ability,557
1,access,93
2,activities,108
3,asset,170
4,assets,154
5,attributes,0
6,automated,0
7,bank,1658
8,banks,8
9,based,340
10,benefits,369
11,business,1658
12,capital,8317
13,card,640
14,competition,0
15,contract,283
16,cost,112
17,costs,16
18,credit,186
19,crowdfunding,0
20,customer,1773
21,customers,1271
22,data,16753
23,digital,8
24,ecosystem,0
25,entities,160
26,equity,8
27,externalisation,0
28,financial,1679
29,fintechs,0
30,firms,0
31,focus,68
32,funding,32
33,future,77
34,global,32
35,high,236
36,http,3869
37,https,3066
38,identity,440
39,impact,221
40,incumbents,0
41,individual,100
42,industry,193
43,infrastructure,8
44,institutions,0
45,insurance,4
46,insurers,0
47,intermediaries,0
48,investment,32
49,investors,8
50,key,2865
51,large,72
52,loan,28
53,management,1850
54,managers,68
55,market,434
56,markets,192
57,models,128
58,number,0
59,offer,8
60,online,0
61,payment,32
62,payments,4
63,platform,119
64,platforms,16
65,potential,68
66,process,1221
67,processes,344
68,product,1034
69,products,467
70,provide,1193
71,providers,16
72,proxy,0
73,real,328
74,regulators,28
75,regulatory,228
76,risk,1293
77,robo,4
78,scale,77
79,scenario,16
80,service,1157
81,services,766
82,shift,73
83,smart,0
84,solutions,153
85,state,3833
86,strategies,68
87,system,509
88,systems,297
89,technology,1124
90,time,1173
91,trade,266
92,trading,44
93,traditional,12
94,transaction,107
95,transactions,48
96,transfer,4
97,user,117
98,users,4
99,wealth,0
