,keyword,occurence
0,ability,581
1,access,171
2,activities,28
3,asset,150
4,assets,150
5,attributes,0
6,automated,68
7,bank,1356
8,banks,16
9,based,488
10,benefits,379
11,business,330
12,capital,8067
13,card,538
14,competition,0
15,contract,0
16,cost,0
17,costs,0
18,credit,72
19,crowdfunding,0
20,customer,1923
21,customers,1269
22,data,18095
23,digital,28
24,ecosystem,24
25,entities,150
26,equity,0
27,externalisation,0
28,financial,261
29,fintechs,0
30,firms,0
31,focus,52
32,funding,0
33,future,79
34,global,0
35,high,220
36,http,4075
37,https,3226
38,identity,558
39,impact,127
40,incumbents,0
41,individual,36
42,industry,171
43,infrastructure,156
44,institutions,0
45,insurance,0
46,insurers,0
47,intermediaries,0
48,investment,0
49,investors,0
50,key,3023
51,large,44
52,loan,12
53,management,532
54,managers,12
55,market,91
56,markets,0
57,models,12
58,number,8
59,offer,20
60,online,4
61,payment,20
62,payments,8
63,platform,294
64,platforms,120
65,potential,4
66,process,452
67,processes,72
68,product,1270
69,products,591
70,provide,1029
71,providers,12
72,proxy,0
73,real,444
74,regulators,0
75,regulatory,0
76,risk,162
77,robo,4
78,scale,111
79,scenario,80
80,service,1460
81,services,1009
82,shift,91
83,smart,52
84,solutions,575
85,state,4014
86,strategies,4
87,system,428
88,systems,324
89,technology,1704
90,time,1067
91,trade,225
92,trading,0
93,traditional,68
94,transaction,0
95,transactions,0
96,transfer,0
97,user,263
98,users,80
99,wealth,0
